year,server,publications
2020,biorxiv,535
2021,biorxiv,554
2022,biorxiv,323
2023,biorxiv,8776
2024,biorxiv,11410
2025,biorxiv,15118
2026,biorxiv,7061
2020,medrxiv,752
2021,medrxiv,636
2022,medrxiv,335
2023,medrxiv,1905
2024,medrxiv,2300
2025,medrxiv,3217
2026,medrxiv,1403
2020,arxiv,47
2021,arxiv,53
2022,arxiv,23
2023,arxiv,454
2024,arxiv,570
2025,arxiv,827
2026,arxiv,251
2020,preprint,1482
2021,preprint,1402
2022,preprint,823
2023,preprint,13201
2024,preprint,16060
2025,preprint,20974
2026,preprint,9658
